Product Name,Parents Release_Final,Design Element_Rel Num,Release Type,Milestone,Roadmap_MonthYear,YearMonth_number,Date_Roadmap,Roadmap_Year,ReleaseType_Milestone,Release Type_Short,Status
Product E,Product E 22,22.5,Feature Package,C3,Apr-2022,42022,04-04-2022 00:00,2022,FP C3,FP,Forecast
Product E,Product E 22,22.5,Feature Package,C5,Jun-2022,62022,03-06-2022 00:00,2022,FP C5,FP,Forecast
Product E,Product E 22,22.8,Feature Package,C3,Jul-2022,72022,04-07-2022 00:00,2022,FP C3,FP,Approved
Product E,Product E 22,22.8,Feature Package,C5,Aug-2022,82022,31-08-2022 00:00,2022,FP C5,FP,Approved
Product E,Product E 23,23.2,Feature Package,C3,Jan-2023,12023,13-01-2023 00:00,2023,FP C3,FP,Forecast
Product E,Product E 23,23.2,Feature Package,C5,Feb-2023,22023,28-02-2023 00:00,2023,FP C5,FP,Approved
Product E,Product E 23,23,Main Release,C1,Sep-2022,92022,20-09-2022 00:00,2022,MR C1,MR,Forecast
Product E,Product E 23,23,Main Release,C3,Oct-2022,102022,12-10-2022 00:00,2022,MR C3,MR,Forecast
Product E,Product E 23,23,Main Release,C5,Dec-2022,122022,02-12-2022 00:00,2022,MR C5,MR,Forecast
Product D,Product F  22 [CNF],22.8,Feature Package,C3,Jul-2022,72022,04-07-2022 00:00,2022,FP C3,FP,Forecast
Product D,Product F  22 [CNF],22.8,Feature Package,C5,Sep-2022,92022,09-09-2022 00:00,2022,FP C5,FP,Forecast
Product D,Product F  23,23.2,Feature Package,C3,Jan-2023,12023,13-01-2023 00:00,2023,FP C3,FP,Forecast
Product D,Product F  23 [CNF],23.2,Feature Package,C5,Feb-2023,22023,28-02-2023 00:00,2023,FP C5,FP,Forecast
Product F,Product F 22,22.5,Feature Package,C3,Mar-2022,32022,31-03-2022 00:00,2022,FP C3,FP,Forecast
Product F,Product F 22,22.5,Feature Package,C5,Jun-2022,62022,02-06-2022 00:00,2022,FP C5,FP,Forecast
Product F,Product F 22,22.8,Feature Package,C3,Jul-2022,72022,04-07-2022 00:00,2022,FP C3,FP,Forecast
Product F,Product F 22,22.8,Feature Package,C5,Sep-2022,92022,09-09-2022 00:00,2022,FP C5,FP,Forecast
Product F,Product F 23,FP2,Feature Package,C3,Jan-2023,12023,13-01-2023 00:00,2023,FP C3,FP,Approved
Product F,Product F 23,160546 <.0 FP=:>()</>,Feature Package,C5,Feb-2023,22023,28-02-2023 00:00,2023,FP C5,FP,Forecast
Product F,Product F 23,23,Main Release,C1,Oct-2022,102022,18-10-2022 00:00,2022,MR C1,MR,Forecast
Product F,Product F 23,23,Main Release,C3,Oct-2022,102022,18-10-2022 00:00,2022,MR C3,MR,Forecast
Product F,Product F 23,23,Main Release,C5,Nov-2022,112022,30-11-2022 00:00,2022,MR C5,MR,Approved
Product F,Product F 23 [CNF],23,Main Release,C1,Oct-2022,102022,18-10-2022 00:00,2022,MR C1,MR,Forecast
Product F,Product F 23 [CNF],23,Main Release,C3,Oct-2022,102022,18-10-2022 00:00,2022,MR C3,MR,Forecast
Product F,Product F 23 [CNF],23,Main Release,C5,Dec-2022,122022,01-12-2022 00:00,2022,MR C5,MR,Approved
Product G,Product G 22,22.5 FP5,Feature Package,C3,Mar-2022,32022,29-03-2022 00:00,2022,FP C3,FP,Approved
Product G,Product G 22,22.5 FP5,Feature Package,C5,Jun-2022,62022,03-06-2022 00:00,2022,FP C5,FP,Approved
Product G,Product G 22,22.8 FP4,Feature Package,C3,Jul-2022,72022,22-07-2022 00:00,2022,FP C3,FP,Forecast
Product G,Product G 22,22.8 FP5,Feature Package,C3,Jul-2022,72022,22-07-2022 00:00,2022,FP C3,FP,Approved
